🕘️更新时间,#genre#
2025-02-28 06:24:32,https://cdn5.163189.xyz/live/cctv1/stream.m3u8

📺央视频道1,#genre#
CCTV-1综合,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1综合,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1综合,http://tvbox6.icu/tv/migu.php?id=cctv1
CCTV-1综合,http://120.192.226.35:8009/hls/501/index.m3u8
CCTV-1综合,http://123.182.60.29:9002/hls/1/index.m3u8
CCTV-1综合,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1综合,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1综合,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://goo.bkpcp.top/mg/CCTV2
CCTV-2财经,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2财经,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV-2财经,http://120.192.226.35:8009/hls/502/index.m3u8
CCTV-2财经,http://123.182.60.29:9002/hls/2/index.m3u8
CCTV-2财经,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-2财经,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV-2财经,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-3综艺,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-3综艺,http://tvbox6.icu/tv/migu.php?id=cctv3
CCTV-3综艺,http://120.192.226.35:8009/hls/3/index.m3u8
CCTV-3综艺,http://123.182.60.29:9002/hls/3/index.m3u8
CCTV-3综艺,http://221.226.4.10:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8
CCTV-3综艺,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://39.170.52.236:808/hls/3/index.m3u8
CCTV-3综艺,http://219.135.180.210:18888/hls/3/index.m3u8
CCTV-4国际,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV-4国际,http://tvbox6.icu/tv/migu.php?id=cctv4a
CCTV-4国际,http://120.192.226.35:8009/hls/4/index.m3u8
CCTV-4国际,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-4国际,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4国际,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
CCTV-4国际,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://39.170.52.236:808/hls/4/index.m3u8
CCTV-4国际,http://219.135.180.210:18888/hls/4/index.m3u8
CCTV-5体育,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5体育,http://tvbox6.icu/tv/migu.php?id=cctv5
CCTV-5体育,http://120.192.226.35:8009/hls/503/index.m3u8
CCTV-5体育,http://123.182.60.29:9002/hls/7/index.m3u8
CCTV-5体育,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://39.170.52.236:808/hls/5/index.m3u8
CCTV-5体育,http://219.135.180.210:18888/hls/5/index.m3u8
CCTV-5体育,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-6电影,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-6电影,http://tvbox6.icu/tv/migu.php?id=cctv6
CCTV-6电影,http://120.192.226.35:8009/hls/6/index.m3u8
CCTV-6电影,http://123.182.60.29:9002/hls/6/index.m3u8
CCTV-6电影,http://221.226.4.10:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6电影,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://39.170.52.236:808/hls/6/index.m3u8
CCTV-6电影,http://219.135.180.210:18888/hls/6/index.m3u8
CCTV-6电影,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-7国防军事,http://goo.bkpcp.top/mg/CCTV7
CCTV-7国防军事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-7国防军事,http://tvbox6.icu/tv/migu.php?id=cctv7
CCTV-7国防军事,http://120.192.226.35:8009/hls/504/index.m3u8
CCTV-7国防军事,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV-7国防军事,http://221.226.4.10:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8
CCTV-7国防军事,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8
CCTV-7国防军事,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://219.135.180.210:18888/hls/7/index.m3u8
CCTV-8电视剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-8电视剧,http://tvbox6.icu/tv/migu.php?id=cctv8
CCTV-8电视剧,http://120.192.226.35:8009/hls/8/index.m3u8
CCTV-8电视剧,http://123.182.60.29:9002/hls/8/index.m3u8
CCTV-8电视剧,http://221.226.4.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://110.53.52.63:8888/newlive/live/hls/10/live.m3u8
CCTV-8电视剧,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8
CCTV-8电视剧,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://39.170.52.236:808/hls/8/index.m3u8
CCTV-8电视剧,http://219.135.180.210:18888/hls/8/index.m3u8
CCTV-9纪录,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-9纪录,http://tvbox6.icu/tv/migu.php?id=cctv9
CCTV-9纪录,http://120.192.226.35:8009/hls/509/index.m3u8
CCTV-9纪录,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV-9纪录,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://110.53.52.63:8888/newlive/live/hls/11/live.m3u8
CCTV-9纪录,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8
CCTV-9纪录,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://39.170.52.236:808/hls/9/index.m3u8
CCTV-9纪录,http://219.135.180.210:18888/hls/9/index.m3u8
CCTV-10科教,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225730
CCTV-10科教,http://tvbox6.icu/tv/migu.php?id=cctv10
CCTV-10科教,http://120.192.226.35:8009/hls/506/index.m3u8
CCTV-10科教,http://123.182.60.29:9002/hls/10/index.m3u8
CCTV-10科教,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://110.53.52.63:8888/newlive/live/hls/12/live.m3u8
CCTV-10科教,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8
CCTV-10科教,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://39.170.52.236:808/hls/10/index.m3u8
CCTV-10科教,http://219.135.180.210:18888/hls/10/index.m3u8
CCTV-11戏曲,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-11戏曲,http://tvbox6.icu/tv/migu.php?id=cctv11
CCTV-11戏曲,http://120.192.226.35:8009/hls/11/index.m3u8
CCTV-11戏曲,http://123.182.60.29:9002/hls/11/index.m3u8
CCTV-11戏曲,http://110.53.52.63:8888/newlive/live/hls/13/live.m3u8
CCTV-11戏曲,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8
CCTV-11戏曲,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://39.170.52.236:808/hls/11/index.m3u8
CCTV-11戏曲,http://219.135.180.210:18888/hls/11/index.m3u8
CCTV-11戏曲,http://xiaoya.crccxw.top:35455/gaoma/cctv11.m3u8
CCTV-12社会与法,http://goo.bkpcp.top/mg/CCTV12
CCTV-12社会与法,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-12社会与法,http://tvbox6.icu/tv/migu.php?id=cctv12
CCTV-12社会与法,http://120.192.226.35:8009/hls/507/index.m3u8
CCTV-12社会与法,http://123.182.60.29:9002/hls/12/index.m3u8
CCTV-12社会与法,http://221.226.4.10:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://110.53.52.63:8888/newlive/live/hls/14/live.m3u8
CCTV-12社会与法,http://120.238.94.10:9901/tsfile/live/1030_1.m3u8
CCTV-12社会与法,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://219.135.180.210:18888/hls/12/index.m3u8
CCTV-13新闻,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226011
CCTV-13新闻,http://tvbox6.icu/tv/migu.php?id=cctv13
CCTV-13新闻,http://120.192.226.35:8009/hls/13/index.m3u8
CCTV-13新闻,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV-13新闻,http://221.226.4.10:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://110.53.52.63:8888/newlive/live/hls/15/live.m3u8
CCTV-13新闻,http://120.238.94.10:9901/tsfile/live/1031_1.m3u8
CCTV-13新闻,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://39.170.52.236:808/hls/13/index.m3u8
CCTV-13新闻,http://219.135.180.210:18888/hls/13/index.m3u8
CCTV-14少儿,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-14少儿,http://tvbox6.icu/tv/migu.php?id=cctv14
CCTV-14少儿,http://123.182.60.29:9002/hls/14/index.m3u8
CCTV-14少儿,http://221.226.4.10:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://110.53.52.63:8888/newlive/live/hls/16/live.m3u8
CCTV-14少儿,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://219.135.180.210:18888/hls/14/index.m3u8
CCTV-14少儿,http://58.17.48.228:808/hls/14/index.m3u8
CCTV-14少儿,http://xiaoya.crccxw.top:35455/gaoma/cctv14.m3u8
CCTV-14少儿,http://home.wwang.pw:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226476
CCTV-15音乐,http://tvbox6.icu/tv/migu.php?id=cctv15
CCTV-15音乐,http://120.192.226.35:8009/hls/15/index.m3u8
CCTV-15音乐,http://123.182.60.29:9002/hls/15/index.m3u8
CCTV-15音乐,http://110.53.52.63:8888/newlive/live/hls/17/live.m3u8
CCTV-15音乐,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://219.135.180.210:18888/hls/15/index.m3u8
CCTV-15音乐,http://xiaoya.crccxw.top:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://home.wwang.pw:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://3501776.xyz:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥林匹克,https://yunmei.tv/main/cctv-16.m3u8
CCTV-16奥林匹克,http://goo.bkpcp.top/mg/cctv16
CCTV-16奥林匹克,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV-16奥林匹克,http://php.jdshipin.com:8880/bst2.php?id=cctv16hd4k/15000000
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16奥林匹克,http://219.135.180.210:18888/hls/31/index.m3u8
CCTV-16奥林匹克,http://58.17.48.228:808/hls/25/index.m3u8
CCTV-16奥林匹克,http://xiaoya.crccxw.top:35455/gaoma/cctv16.m3u8
CCTV-16奥林匹克,http://home.wwang.pw:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16奥林匹克,http://36.105.100.208:35455/gaoma/cctv16.m3u8
CCTV-17高清,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765
CCTV-17高清,http://tvbox6.icu/tv/migu.php?id=cctv17
CCTV-17高清,http://120.238.94.10:9901/tsfile/live/1048_1.m3u8
CCTV-17高清,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17高清,http://xiaoya.crccxw.top:35455/gaoma/cctv17.m3u8
CCTV-17高清,http://home.wwang.pw:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-17高清,http://3501776.xyz:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-17高清,http://36.105.100.208:35455/gaoma/cctv17.m3u8
CCTV-17高清,http://newtv.fun:35455/gaoma/cctv17.m3u8
CCTV-17高清,http://www.freetv.top/migu/673168256.m3u8?migutoken=698e0ff1ba47e7b3e38326199e2ee0a1b7bd0b0dd192935d111a196fb0a283c3070537cce6951301b2cc3e6f7de31ffdb9b7c4095d6c008d8333e21e5070375ca86124640133c9fa4c6ffa847f

📺央视频道2,#genre#
CCTV-1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://tvbox6.icu/tv/migu.php?id=cctv1
CCTV-1,http://120.192.226.35:8009/hls/501/index.m3u8
CCTV-1,http://123.182.60.29:9002/hls/1/index.m3u8
CCTV-1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV-2,http://120.192.226.35:8009/hls/502/index.m3u8
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8
CCTV-2,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-3,http://tvbox6.icu/tv/migu.php?id=cctv3
CCTV-3,http://120.192.226.35:8009/hls/3/index.m3u8
CCTV-3,http://123.182.60.29:9002/hls/3/index.m3u8
CCTV-3,http://221.226.4.10:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8
CCTV-3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://39.170.52.236:808/hls/3/index.m3u8
CCTV-3,http://219.135.180.210:18888/hls/3/index.m3u8
CCTV-4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV-4,http://tvbox6.icu/tv/migu.php?id=cctv4a
CCTV-4,http://120.192.226.35:8009/hls/4/index.m3u8
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-4,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
CCTV-4,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://39.170.52.236:808/hls/4/index.m3u8
CCTV-4,http://219.135.180.210:18888/hls/4/index.m3u8
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5,http://tvbox6.icu/tv/migu.php?id=cctv5
CCTV-5,http://120.192.226.35:8009/hls/503/index.m3u8
CCTV-5,http://123.182.60.29:9002/hls/7/index.m3u8
CCTV-5,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8
CCTV-5,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://39.170.52.236:808/hls/5/index.m3u8
CCTV-5,http://219.135.180.210:18888/hls/5/index.m3u8
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-5+,http://php.jdshipin.com:8880/cqyx.php?id=CCTV5SPORTHD
CCTV-5+,http://tvbox6.icu/tv/migu.php?id=cctv5p
CCTV-5+,http://123.182.60.29:9002/hls/17/index.m3u8
CCTV-5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8
CCTV-5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://xiaoya.crccxw.top:35455/gaoma/cctv5p.m3u8
CCTV-5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV-6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-6,http://tvbox6.icu/tv/migu.php?id=cctv6
CCTV-6,http://120.192.226.35:8009/hls/6/index.m3u8
CCTV-6,http://123.182.60.29:9002/hls/6/index.m3u8
CCTV-6,http://221.226.4.10:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://39.170.52.236:808/hls/6/index.m3u8
CCTV-6,http://219.135.180.210:18888/hls/6/index.m3u8
CCTV-6,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-7,http://goo.bkpcp.top/mg/CCTV7
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-7,http://tvbox6.icu/tv/migu.php?id=cctv7
CCTV-7,http://120.192.226.35:8009/hls/504/index.m3u8
CCTV-7,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV-7,http://221.226.4.10:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8
CCTV-7,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8
CCTV-7,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://219.135.180.210:18888/hls/7/index.m3u8
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-8,http://tvbox6.icu/tv/migu.php?id=cctv8
CCTV-8,http://120.192.226.35:8009/hls/8/index.m3u8
CCTV-8,http://123.182.60.29:9002/hls/8/index.m3u8
CCTV-8,http://221.226.4.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://110.53.52.63:8888/newlive/live/hls/10/live.m3u8
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8
CCTV-8,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://39.170.52.236:808/hls/8/index.m3u8
CCTV-8,http://219.135.180.210:18888/hls/8/index.m3u8
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-9,http://tvbox6.icu/tv/migu.php?id=cctv9
CCTV-9,http://120.192.226.35:8009/hls/509/index.m3u8
CCTV-9,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV-9,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://110.53.52.63:8888/newlive/live/hls/11/live.m3u8
CCTV-9,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8
CCTV-9,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://39.170.52.236:808/hls/9/index.m3u8
CCTV-9,http://219.135.180.210:18888/hls/9/index.m3u8
CCTV-10,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225730
CCTV-10,http://tvbox6.icu/tv/migu.php?id=cctv10
CCTV-10,http://120.192.226.35:8009/hls/506/index.m3u8
CCTV-10,http://123.182.60.29:9002/hls/10/index.m3u8
CCTV-10,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://110.53.52.63:8888/newlive/live/hls/12/live.m3u8
CCTV-10,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8
CCTV-10,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://39.170.52.236:808/hls/10/index.m3u8
CCTV-10,http://219.135.180.210:18888/hls/10/index.m3u8
CCTV-11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-11,http://tvbox6.icu/tv/migu.php?id=cctv11
CCTV-11,http://120.192.226.35:8009/hls/11/index.m3u8
CCTV-11,http://123.182.60.29:9002/hls/11/index.m3u8
CCTV-11,http://110.53.52.63:8888/newlive/live/hls/13/live.m3u8
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8
